image;genus;family;ID;species
1.jpg;Pennantia;Pennantiaceae;1;Pennantia_corymbosa
10.jpg;Panax;Araliaceae;2;Panax_quinquefolius
100.jpg;Turgenia;Apioideae;3;Turgenia_latifolia
101.jpg;Daucus;Apioideae;4;Daucus_carota
102.jpg;Laser;Apioideae;5;Laserpitium_archangelica
103.jpg;Laserpitium;Apioideae;6;Laserpitium_latifolium
104.jpg;Silphiodaucus;Apioideae;7;Silphiodaucus_prutenicus
105.jpg;Thapsia;Apioideae;8;Thapsia_villosa
106.jpg;Ferula;Apioideae;9;Ferula_glauca
107.jpg;Meum;Apioideae;10;Meum_athamanticum
108.jpg;Mutellina;Apioideae;11;Mutellina_purpurea
109.jpg;Aegopodium;Apioideae;12;Aegopodium_podagraria
11.jpg;Pseudopanax;Araliaceae;13;Pseudopanax_crassifolius
110.jpg;Carum;Apioideae;14;Carum_carvi
111.jpg;Falcaria;Apioideae;15;Falcaria_vulgaris
112.jpg;Ammoides;Apioideae;16;Ammoides_pusilla
113.jpg;Carum;Apioideae;17;Carum_buriaticum
114.jpg;Crithmum;Apioideae;18;Crithmum_maritimum
115.jpg;Elaeosticta;Apioideae;19;Elaeosticta_allioides
116.jpg;Elwendia;Apioideae;20;Elwendia_persica
117.jpg;Scaligeria;Apioideae;21;Scaligeria_napiformis
118.jpg;Schrenkia;Apioideae;22;Schrenkia_vaginata
119.jpg;Aphanopleura;Apioideae;23;Aphanopleura_capillifolia
12.jpg;Schefflera;Araliaceae;24;Heptapleurum_heptaphyllum
120.jpg;Pimpinella;Apioideae;25;Pimpinella_anisum
121.jpg;Pimpinella;Apioideae;26;Pimpinella_peregrina
122.jpg;Pimpinella;Apioideae;27;Pimpinella_saxifraga
123.jpg;Ammi;Apioideae;28;Ammi_majus
124.jpg;Anethum;Apioideae;29;Anethum_graveolens
125.jpg;Petroselinum;Apioideae;30;Petroselinum_crispum
126.jpg;Rutheopsis;Apioideae;31;Rutheopsis_herbanica
127.jpg;Opopanax;Apioideae;32;Opopanax_hispidus
128.jpg;Stefanoffia;Apioideae;33;Stefanoffia_daucoides
129.jpg;Ferulago;Apioideae;34;Ferulago_macrosciadea
13.jpg;Myodocarpus;Myodocarpaceae;35;Myodocarpus_fraxinifolius
130.jpg;Prangos;Apioideae;36;Prangos_ferulacea
131.jpg;Conioselinum;Apioideae;37;Conioselinum_tataricum
132.jpg;Levisticum;Apioideae;38;Levisticum_officinale
133.jpg;Silaum;Apioideae;39;Silaum_silaus
134.jpg;Echinophora;Apioideae;40;Echinophora_chrysantha
135.jpg;Echinophora;Apioideae;41;Echinophora_tenuifolia
136.jpg;Pycnocycla;Apioideae;42;Pycnocycla_spinosa
137.jpg;Cymbocarpum;Apioideae;43;Cymbocarpum_erythraeum
138.jpg;Heracleum;Apioideae;44;Heracleum_pastinacifolium
139.jpg;Heracleum;Apioideae;45;Heracleum_sphondylium
14.jpg;Actinotus;Mackinlayoideae;46;Actinotus_helianthi
140.jpg;Pastinaca;Apioideae;47;Pastinaca_armena
141.jpg;Pastinaca;Apioideae;48;Pastinaca_sativa
142.jpg;Tordylium;Apioideae;49;Tordylium_maximum
143.jpg;Tordylium;Apioideae;50;Ainsworthia_trachycarpa
144.jpg;Zosima;Apioideae;51;Zosima_orientalis
145.jpg;Bifora;Apioideae;52;Bifora_radians
146.jpg;Coriandrum;Apioideae;53;Coriandrum_sativum
147.jpg;Aethusa;Apioideae;54;Aethusa_cynapium
148.jpg;Angelica;Apioideae;55;Angelica_archangelica
149.jpg;Arracacia;Apioideae;56;Arracacia_aegopodioides
15.jpg;Centella;Mackinlayoideae;57;Centella_asiatica
150.jpg;Arracacia;Apioideae;58;Arracacia_longipedunculata
151.jpg;Arracacia;Apioideae;59;Arracacia_tolucensis
152.jpg;Ligusticum;Apioideae;60;Pachypleurum_alpinum
153.jpg;Lomatium;Apioideae;61;Lomatium_bicolor
154.jpg;Seseli;Apioideae;62;Seseli_annuum
155.jpg;Seseli;Apioideae;63;Seseli_hippomarathrum
156.jpg;Thysselinum;Apioideae;64;Thysselinum_palustre
157.jpg;Trinia;Apioideae;65;Trinia_glauca
158.jpg;Zizia;Apioideae;66;Zizia_aurea
16.jpg;Xanthosia;Mackinlayoideae;67;Xanthosia_rotundifolia
17.jpg;Platysace;Platysace;68;Platysace_ericoides
18.jpg;Platysace;Platysace;69;Platysace_lanceolata
19.jpg;Klotzschia;Klotzschia;70;Klotzschia_brasiliensis
2.jpg;Torricellia;Torricelliaceae;71;Torricellia_tiliifolia
20.jpg;Asteriscium;Azorelloideae;72;Asteriscium_chilense
21.jpg;Azorella;Azorelloideae;73;Azorella_acaulis
22.jpg;Azorella;Azorelloideae;74;Azorella_ameghinoi
23.jpg;Azorella;Azorelloideae;75;Azorella_andina
24.jpg;Azorella;Azorelloideae;76;Azorella_haastii
25.jpg;Azorella;Azorelloideae;77;Azorella_trifoliolata
26.jpg;Bowlesia;Azorelloideae;78;Bowlesia_lobata
27.jpg;Bowlesia;Azorelloideae;79;Bowlesia_tropaeolifolia
28.jpg;Domeykoa;Azorelloideae;80;Domeykoa_oppositifolia
29.jpg;Eremocharis;Azorelloideae;81;Eremocharis_fruticosa
3.jpg;Griselinia;Griseliniaceae;82;Griselinia_lucida
30.jpg;Gymnophyton;Azorelloideae;83;Gymnophyton_flexuosum
31.jpg;Gymnophyton;Azorelloideae;84;Gymnophyton_isatidicarpum
32.jpg;Homalocarpus;Azorelloideae;85;Homalocarpus_dichotomus
33.jpg;Azorella;Azorelloideae;86;Azorella_prolifera
34.jpg;Pozoa;Azorelloideae;87;Pozoa_coriacea
35.jpg;Spananthe;Azorelloideae;88;Spananthe_paniculata
36.jpg;Hermas;Hermas;89;Hermas_villosa
37.jpg;Steganotaenia;Saniculoideae;90;Steganotaenia_araliacea
38.jpg;Actinolema;Saniculoideae;91;Actinolema_eryngioides
39.jpg;Alepidea;Saniculoideae;92;Alepidea_amatymbica
4.jpg;Hymenosporum;Pittosporaceae;93;Hymenosporum_flavum
40.jpg;Alepidea;Saniculoideae;94;Alepidea_peduncularis
41.jpg;Arctopus;Saniculoideae;95;Arctopus_echinatus
42.jpg;Eryngium;Saniculoideae;96;Eryngium_campestre
43.jpg;Eryngium;Saniculoideae;97;Eryngium_ebracteatum
44.jpg;Sanicula;Saniculoideae;98;Sanicula_canadensis
45.jpg;Sanicula;Saniculoideae;99;Sanicula_crassicaulis
46.jpg;Sanicula;Saniculoideae;100;Sanicula_epipactis
47.jpg;Sanicula;Saniculoideae;101;Sanicula_europaea
48.jpg;Lichtensteinia;Apioideae;102;Lichtensteinia_trifida
49.jpg;Annesorhiza;Apioideae;103;Annesorhiza_altiscapa
5.jpg;Hydrocotyle;Araliaceae;104;Hydrocotyle_vulgaris
50.jpg;Molopospermum;Apioideae;105;Molopospermum_peloponnesiacum
51.jpg;Heteromorpha;Apioideae;106;Heteromorpha_arborescens
52.jpg;Chamaesium;Apioideae;107;Chamaesium_paradoxum
53.jpg;Bupleurum;Apioideae;108;Bupleurum_aureum
54.jpg;Bupleurum;Apioideae;109;Bupleurum_balansae
55.jpg;Bupleurum;Apioideae;110;Bupleurum_falcatum
56.jpg;Bupleurum;Apioideae;111;Bupleurum_fruticosum
57.jpg;Bupleurum;Apioideae;112;Bupleurum_longifolium
58.jpg;Bupleurum;Apioideae;113;Bupleurum_praealtum
59.jpg;Bupleurum;Apioideae;114;Bupleurum_ranunculoides
6.jpg;Aralia;Araliaceae;115;Aralia_spinosa
60.jpg;Bupleurum;Apioideae;116;Bupleurum_rotundifolium
61.jpg;Bupleurum;Apioideae;117;Bupleurum_stellatum
62.jpg;Bupleurum;Apioideae;118;Bupleurum_tenuissimum
63.jpg;Pleurospermopsis;Apioideae;119;Pleurospermopsis_sikkimensis
64.jpg;Eremodaucus;Apioideae;120;Eremodaucus_lehmannii
65.jpg;Physospermum;Apioideae;121;Physospermum_cornubiense
66.jpg;Pleurospermum;Apioideae;122;Pleurospermum_uralense
67.jpg;Cyclorhiza;Apioideae;123;Cyclorhiza_peucedanifolia
68.jpg;Haplosphaera;Apioideae;124;Haplosphaera_phaea
69.jpg;Sinolimprichtia;Apioideae;125;Sinolimprichtia_alpina
7.jpg;Dendropanax;Araliaceae;126;Dendropanax_arboreus
70.jpg;Erigenia;Apioideae;127;Erigenia_bulbosa
71.jpg;Cicuta;Apioideae;128;Cicuta_virosa
72.jpg;Cryptotaenia;Apioideae;129;Cryptotaenia_canadensis
73.jpg;Helosciadium;Apioideae;130;Helosciadium_nodiflorum
74.jpg;Neogoezia;Apioideae;131;Neogoezia_gracilipes
75.jpg;Oenanthe;Apioideae;132;Oenanthe_aquatica
76.jpg;Oxypolis;Apioideae;133;Oxypolis_fendleri
77.jpg;Perideridia;Apioideae;134;Perideridia_kelloggii
78.jpg;Ptilimnium;Apioideae;135;Ptilimnium_capillaceum
79.jpg;Sium;Apioideae;136;Sium_latifolium
8.jpg;Fatsia;Araliaceae;137;Fatsia_japonica
80.jpg;Trocdaris;Apioideae;138;Trocdaris_verticillatum
81.jpg;Lecokia;Apioideae;139;Lecokia_cretica
82.jpg;Smyrnium;Apioideae;140;Smyrnium_olusatrum
83.jpg;Aciphylla;Apioideae;141;Aciphylla_aurea
84.jpg;Ligusticum;Apioideae;142;Ligusticum_scoticum
85.jpg;Pleurospermum;Apioideae;143;Pleurospermum_hookeri
86.jpg;Anthriscus;Apioideae;144;Anthriscus_cerefolium
87.jpg;Anthriscus;Apioideae;145;Anthriscus_sylvestris
88.jpg;Athamanta;Apioideae;146;Athamanta_cretensis
89.jpg;Chaerophyllum;Apioideae;147;Chaerophyllum_aromaticum
9.jpg;Harmsiopanax;Araliaceae;148;Harmsiopanax_ingens
90.jpg;Chaerophyllum;Apioideae;149;Chaerophyllum_aureum
91.jpg;Chaerophyllum;Apioideae;150;Chaerophyllum_hirsutum
92.jpg;Chaerophyllum;Apioideae;151;Chaerophyllum_temulum
93.jpg;Conopodium;Apioideae;152;Conopodium_majus
94.jpg;Osmorhiza;Apioideae;153;Osmorhiza_aristata
95.jpg;Scandix;Apioideae;154;Scandix_pecten-veneris
96.jpg;Scandix;Apioideae;155;Scandix_stellata
97.jpg;Sphallerocarpus;Apioideae;156;Sphallerocarpus_gracilis
98.jpg;Astrodaucus;Apioideae;157;Astrodaucus_orientalis
99.jpg;Torilis;Apioideae;158;Torilis_japonica

